tamanho,selection,insertion,bubble,merge,shell,quick,heap

10000,0.169,0.115,0.441,0.003,0.002,0.002,0.002
20000,0.679,0.554,1.780,0.007,0.004,0.004,0.004
30000,1.537,1.509,4.108,0.010,0.007,0.005,0.006
40000,2.738,2.820,7.153,0.014,0.010,0.007,0.008
50000,4.260,4.716,11.213,0.016,0.012,0.009,0.011
60000,6.170,7.085,16.438,0.021,0.016,0.011,0.013
70000,8.347,9.680,22.583,0.023,0.019,0.012,0.018
80000,10.954,12.666,30.074,0.027,0.023,0.015,0.019
90000,13.869,15.869,37.677,0.031,0.025,0.016,0.023
100000,17.029,18.919,45.960,0.034,0.029,0.018,0.024
