tamanho,selection,insertion,bubble,merge,shell,quick,heap

10000,0.171,0.236,0.452,0.003,0.001,0.001,0.002
20000,0.713,1.216,1.803,0.005,0.001,0.001,0.003
30000,1.656,3.248,4.110,0.008,0.003,0.001,0.005
40000,2.868,5.638,7.329,0.010,0.003,0.003,0.007
50000,4.474,8.512,11.400,0.013,0.003,0.003,0.008
60000,6.541,13.065,16.422,0.015,0.004,0.004,0.011
70000,8.731,17.495,22.465,0.018,0.006,0.004,0.011
80000,11.557,23.385,29.159,0.020,0.007,0.005,0.014
90000,14.641,29.570,37.356,0.023,0.007,0.006,0.016
100000,17.886,35.832,45.807,0.027,0.009,0.007,0.018
