tamanho,selection,insertion,bubble,merge,shell,quick,heap

10000,0.173,0.001,0.172,0.002,0.001,0.001,0.001
20000,0.678,0.001,0.693,0.005,0.001,0.001,0.003
30000,1.520,0.001,1.570,0.008,0.001,0.002,0.004
40000,2.723,0.001,2.835,0.014,0.002,0.003,0.007
50000,4.240,0.001,4.348,0.013,0.003,0.002,0.008
60000,6.136,0.001,6.319,0.015,0.003,0.004,0.010
70000,8.315,0.001,8.569,0.018,0.003,0.004,0.013
80000,11.032,0.001,11.283,0.020,0.004,0.005,0.014
90000,13.958,0.001,14.217,0.024,0.005,0.006,0.017
100000,16.954,0.001,17.651,0.025,0.005,0.006,0.018
